City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Marabba,SD,2021-12-12 09:50:52,12.35,32.1833,93.15,17,1,10.31
187,Ahipara,NZ,2021-12-12 09:50:52,-35.1667,173.1667,66.27,96,59,5.66
188,Thinadhoo,MV,2021-12-12 09:50:52,0.5333,72.9333,79.72,79,100,8.5
189,Biloela,AU,2021-12-12 09:50:52,-24.4167,150.5,76.73,61,30,10.13
190,Roebourne,AU,2021-12-12 09:50:53,-20.7833,117.1333,96.4,31,4,15.84
191,Laguna,US,2021-12-12 09:50:53,38.421,-121.4238,51.64,81,90,1.01
192,Sanary-Sur-Mer,FR,2021-12-12 09:50:53,43.1178,5.8001,51.89,65,16,4.25
193,Dayong,CN,2021-12-12 09:50:54,25.0209,118.2898,69.48,71,83,5.1
194,Hofn,IS,2021-12-12 09:50:54,64.2539,-15.2082,41.72,84,69,27.13
195,Kudahuvadhoo,MV,2021-12-12 09:50:54,2.6708,72.8944,81.45,75,99,14.67
196,Dakar,SN,2021-12-12 09:48:28,14.6937,-17.4441,76.08,83,0,0.0
197,Myingyan,MM,2021-12-12 09:50:55,21.4667,95.3833,79.59,55,0,6.76
198,La Ronge,CA,2021-12-12 09:50:55,55.1001,-105.2842,7.02,85,20,2.3
199,Nizhnevartovsk,RU,2021-12-12 09:50:56,60.9344,76.5531,-3.98,84,0,2.24
200,Port Elizabeth,ZA,2021-12-12 09:50:30,-33.918,25.5701,79.11,64,90,3.44
201,Samut Songkhram,TH,2021-12-12 09:50:56,13.4,99.9583,86.99,53,14,2.95
202,Muisne,EC,2021-12-12 09:50:57,0.6,-80.0333,73.85,93,100,12.01
203,Nuuk,GL,2021-12-12 09:49:28,64.1835,-51.7216,21.81,93,75,5.75
204,Karratha,AU,2021-12-12 09:50:57,-20.7377,116.8463,96.28,34,3,18.12
205,Saldanha,ZA,2021-12-12 09:50:57,-33.0117,17.9442,71.65,71,100,7.72
206,Sao Filipe,CV,2021-12-12 09:50:58,14.8961,-24.4956,74.41,68,54,5.01
207,Disna,BY,2021-12-12 09:50:58,55.568,28.1971,32.72,100,100,4.56
208,Oktyabrskiy,RU,2021-12-12 09:50:58,54.4815,53.471,17.13,83,48,3.44
209,Aklavik,CA,2021-12-12 09:50:58,68.2191,-135.0107,-1.48,93,100,23.47
210,Tautira,PF,2021-12-12 09:50:59,-17.7333,-149.15,78.82,75,100,6.38
211,Lebedinyy,RU,2021-12-12 09:50:59,58.5167,125.5167,-24.97,97,61,7.07
212,Awjilah,LY,2021-12-12 09:50:59,29.1081,21.2869,66.0,27,91,7.25
213,Ossora,RU,2021-12-12 09:50:59,59.2353,163.0719,19.47,87,100,11.23
214,Dahanu,IN,2021-12-12 09:51:00,19.9667,72.7333,83.37,51,23,5.77
215,Muros,ES,2021-12-12 09:51:00,42.7762,-9.0603,52.84,78,74,3.47
216,San Cristobal,VE,2021-12-12 09:51:00,7.7669,-72.225,62.42,93,53,3.4
217,Shimoda,JP,2021-12-12 09:51:01,34.6667,138.95,58.1,68,32,22.91
218,Wakema,MM,2021-12-12 09:51:01,16.6,95.1833,86.34,53,11,4.85
219,Ilulissat,GL,2021-12-12 09:51:01,69.2167,-51.1,5.97,81,75,5.35
220,Taybad,IR,2021-12-12 09:51:02,34.74,60.7756,56.35,32,0,8.57
221,Esperance,AU,2021-12-12 09:51:02,-33.8667,121.9,62.44,53,43,13.87
222,Port Macquarie,AU,2021-12-12 09:51:02,-31.4333,152.9167,67.96,72,78,9.75
223,Tynda,RU,2021-12-12 09:51:03,55.1667,124.7167,-17.61,97,5,3.44
224,Madang,PG,2021-12-12 09:51:03,-5.2246,145.7966,80.74,87,92,4.38
225,Kainantu,PG,2021-12-12 09:52:03,-6.2887,145.8655,62.87,96,99,3.89
226,Feicheng,CN,2021-12-12 09:52:04,35.2606,117.9675,37.58,40,0,4.97
227,Tuatapere,NZ,2021-12-12 09:52:04,-46.1333,167.6833,49.82,88,40,3.47
228,Nizwa,OM,2021-12-12 09:52:04,22.9333,57.5333,77.86,21,0,6.2
229,Sao Joao Da Barra,BR,2021-12-12 09:52:04,-21.6403,-41.0511,75.29,85,96,10.83
230,Voh,NC,2021-12-12 09:52:05,-20.9667,164.7,79.56,82,100,4.72
231,Kahului,US,2021-12-12 09:52:05,20.8947,-156.47,73.42,87,40,14.97
232,Aykhal,RU,2021-12-12 09:52:05,66.0,111.5,-39.77,100,51,4.29
233,Egvekinot,RU,2021-12-12 09:52:06,66.3167,-179.1667,-26.1,91,33,5.21
234,Praya,CV,2021-12-12 09:52:06,14.9215,-23.5087,72.14,83,75,14.97
235,Lucapa,AO,2021-12-12 09:52:06,-8.4192,20.7447,81.97,66,97,1.97
236,Motygino,RU,2021-12-12 09:52:07,58.1831,94.7592,-0.89,100,95,2.26
237,Bandarbeyla,SO,2021-12-12 09:52:07,9.4942,50.8122,81.09,66,0,25.88
238,Antalaha,MG,2021-12-12 09:52:07,-14.9003,50.2788,83.7,61,68,10.96
239,Kenai,US,2021-12-12 09:52:07,60.5544,-151.2583,-2.15,81,1,0.0
240,Luderitz,NA,2021-12-12 09:52:08,-26.6481,15.1594,75.02,50,1,16.22
241,Iquique,CL,2021-12-12 09:52:08,-20.2208,-70.1431,60.84,81,26,2.3
242,Barra Do Garcas,BR,2021-12-12 09:52:08,-15.89,-52.2567,73.31,97,97,4.81
243,Lubu,CN,2021-12-12 09:52:08,23.1742,112.2809,71.98,50,74,5.55
244,Luocheng,CN,2021-12-12 09:52:09,29.3848,104.0286,54.21,60,18,4.34
245,Elko,US,2021-12-12 09:52:09,41.0002,-115.5012,32.23,57,99,5.99
246,Georgetown,MY,2021-12-12 09:52:09,5.4112,100.3354,91.35,64,20,8.05
247,Broken Hill,AU,2021-12-12 09:52:10,-31.95,141.4333,87.51,12,1,10.36
248,Adrar,MR,2021-12-12 09:52:10,20.5022,-10.0711,71.74,15,96,11.83
249,Wahiawa,US,2021-12-12 09:52:10,21.5028,-158.0236,73.72,87,75,0.0
250,Kaseda,JP,2021-12-12 09:52:10,31.4167,130.3167,56.43,67,76,22.59
251,Gibara,CU,2021-12-12 09:52:11,21.1097,-76.1317,75.6,84,3,8.7
252,Sarankhola,BD,2021-12-12 09:52:11,22.3082,89.7897,75.61,46,0,6.96
253,Tahe,CN,2021-12-12 09:52:11,52.3333,124.7333,-1.64,82,1,5.95
254,Vryburg,ZA,2021-12-12 09:52:12,-26.9566,24.7284,85.39,32,100,12.75
255,Ostersund,SE,2021-12-12 09:52:12,63.1792,14.6357,31.6,93,20,14.97
256,Las Vegas,US,2021-12-12 09:50:22,36.175,-115.1372,40.68,36,1,3.44
257,Sabang,ID,2021-12-12 09:52:12,5.8933,95.3214,82.72,71,17,22.59
258,Perene,PE,2021-12-12 09:52:12,-10.9492,-75.2261,69.89,95,96,1.19
259,Isiro,CD,2021-12-12 09:52:13,2.7739,27.616,90.5,27,100,5.19
260,Tevriz,RU,2021-12-12 09:52:13,57.509,72.4042,8.42,96,59,4.68
261,Itarema,BR,2021-12-12 09:52:13,-2.9248,-39.9167,82.9,67,72,14.05
262,Taian,CN,2021-12-12 09:52:14,36.1853,117.12,33.93,36,0,4.07
263,Marsala,IT,2021-12-12 09:52:14,37.7966,12.4352,57.15,62,75,18.41
264,Safaga,EG,2021-12-12 09:52:14,26.7292,33.9365,75.72,52,100,3.53
265,Caravelas,BR,2021-12-12 09:52:14,-17.7125,-39.2481,77.56,81,91,5.37
266,Tabou,CI,2021-12-12 09:52:15,4.423,-7.3528,82.63,75,78,5.95
267,Airai,TL,2021-12-12 09:52:15,-8.9266,125.4092,63.5,95,100,0.54
268,Vung Tau,VN,2021-12-12 09:52:16,10.346,107.0843,79.63,75,81,7.7
269,Ziarat,PK,2021-12-12 09:52:16,30.3823,67.7282,47.68,13,8,5.23
270,Carnarvon,AU,2021-12-12 09:52:16,-24.8667,113.6333,77.07,65,0,24.16
271,Westport,US,2021-12-12 09:51:31,41.1415,-73.3579,46.74,54,1,5.01
272,Porto Velho,BR,2021-12-12 09:52:16,-8.7619,-63.9039,77.05,94,75,2.3
273,Emporia,US,2021-12-12 09:50:36,38.4039,-96.1817,30.51,59,1,11.5
274,Olaine,LV,2021-12-12 09:53:17,56.7853,23.9381,33.82,93,90,4.61
275,Plettenberg Bay,ZA,2021-12-12 09:53:17,-34.0527,23.3716,70.54,66,21,9.33
276,Tanout,NE,2021-12-12 09:53:17,14.9709,8.8879,77.45,8,74,15.99
277,Peebles,GB,2021-12-12 09:53:18,55.6519,-3.1888,46.31,30,84,1.01
278,Bambous Virieux,MU,2021-12-12 09:53:18,-20.3428,57.7575,84.45,58,40,11.5
279,Bintulu,MY,2021-12-12 09:53:18,3.1667,113.0333,84.61,83,20,5.01
280,Namatanai,PG,2021-12-12 09:53:18,-3.6667,152.4333,79.77,86,99,5.12
281,Fort Nelson,CA,2021-12-12 09:53:19,58.8053,-122.7002,-0.81,85,90,6.91
282,Mehamn,NO,2021-12-12 09:53:19,71.0357,27.8492,28.38,96,100,8.1
283,Dunedin,NZ,2021-12-12 09:53:19,-45.8742,170.5036,53.8,71,69,4.0
284,Southend-On-Sea,GB,2021-12-12 09:53:20,51.5378,0.7143,55.98,91,90,3.0
285,Ewa Beach,US,2021-12-12 09:53:20,21.3156,-158.0072,76.95,89,75,0.0
286,Huntsville,US,2021-12-12 09:48:47,34.7304,-86.5861,37.56,85,1,1.99
287,Suda,RU,2021-12-12 09:53:20,59.1525,37.5582,6.91,92,64,8.79
288,Shestakovo,RU,2021-12-12 09:53:21,56.4915,103.96,21.56,90,100,3.96
289,Yulara,AU,2021-12-12 09:53:21,-25.2406,130.9889,89.44,29,94,19.57
290,Beatrice,US,2021-12-12 09:53:21,40.2681,-96.747,36.18,44,1,9.22
291,Bathsheba,BB,2021-12-12 09:53:22,13.2167,-59.5167,79.41,83,40,18.41
292,Yeniseysk,RU,2021-12-12 09:53:22,58.4497,92.1703,4.21,98,100,2.68
